month,hr,"high, PHP/MWh","central, PHP/MWh","low, PHP/MWh"
Jan,1,5149.927734,4212.631478,2175.804516
Jan,2,4287.2695,3531.482119,1846.563548
Jan,3,3924.225819,3133.393978,1786.320968
Jan,4,3597.597531,3056.506414,1780.156129
Jan,5,4099.559693,3276.168591,1966.192258
Jan,6,4724.921058,3555.699274,2083.373548
Jan,7,4392.082037,3717.738709,1699.405495
Jan,8,4550.75583,3379.701612,2173.805949
Jan,9,5212.060002,3431.416861,2480.958563
Jan,10,5026.935641,3615.475031,2663.114522
Jan,11,6295.237949,3917.710784,2795.48329
Jan,12,5448.589965,3375.764401,2386.922897
Jan,13,4702.497156,3230.027197,2241.731179
Jan,14,6229.373766,4838.615118,2967.692599
Jan,15,6289.124355,5134.70078,3021.937336
Jan,16,6823.948194,5310.442796,3455.598537
Jan,17,6678.704907,4807.745188,3001.589412
Jan,18,6929.414677,5820.515914,4185.737124
Jan,19,7549.218387,5996.21664,3156.669677
Jan,20,6825.219597,4230.556452,2820.79871
Jan,21,6669.180188,5337.467016,2993.864516
Jan,22,6025.510024,5818.117796,2808.834194
Jan,23,5764.381975,5114.748952,2512.917419
Jan,24,5217.738246,4089.546295,2120.275806
Feb,1,6171.514556,4060.768201,2569.588065
Feb,2,5539.00373,3566.444567,2331.369677
Feb,3,5138.681735,3340.106224,2216.489032
Feb,4,4997.473566,3103.061196,2177.851613
Feb,5,6334.890203,3446.175332,2361.160968
Feb,6,6608.435296,3420.239969,2583.587742
Feb,7,5775.360304,3224.967004,2190.934839
Feb,8,5321.179283,2921.985285,2246.932581
Feb,9,6652.112066,2961.620967,2731.988065
Feb,10,6398.178247,3163.979142,3098.539677
Feb,11,7190.79705,3430.46001,3532.283548
Feb,12,6141.783573,2992.867281,2967.19871
Feb,13,5525.094065,2629.150107,2922.216129
Feb,14,7513.679081,4062.62327,3925.207419
Feb,15,8360.929651,4516.409634,3879.557742
Feb,16,8464.25922,4589.410935,4077.501935
Feb,17,8062.623118,4456.77586,3307.229677
Feb,18,7524.158619,4350.420736,4139.379032
Feb,19,9320.861102,5866.091398,4433.381613
Feb,20,7268.912258,4685.389301,3710.869677
Feb,21,8003.104758,5401.841989,3650.888065
Feb,22,8265.839355,5991.83164,3357.157742
Feb,23,7546.792097,4150.079731,2785.81
Feb,24,6290.895376,4002.047014,2533.709032
Mar,1,5321.265072,4435.441494,2283.04931
Mar,2,5035.21931,3994.636006,2106.365862
Mar,3,4736.263085,3691.907069,1950.856897
Mar,4,4645.998292,3399.284971,1869.431034
Mar,5,5439.560418,3803.580402,1926.389655
Mar,6,5479.105883,4007.566599,1954.302069
Mar,7,4797.642834,3282.613349,1266.762759
Mar,8,4300.670514,3056.110828,1727.13069
Mar,9,5689.699264,3454.689075,2031.041724
Mar,10,5410.402248,4031.450439,2120.46
Mar,11,6037.763461,4883.437322,2336.572759
Mar,12,4789.908918,4124.770217,2153.253793
Mar,13,4792.569252,3577.792759,2269.633448
Mar,14,6248.654511,5182.101034,2887.849655
Mar,15,6643.861839,5292.086437,2941.333448
Mar,16,6666.465201,6914.669397,3019.186897
Mar,17,8218.738305,6790.001983,2444.828966
Mar,18,7435.712098,5800.04477,2336.579655
Mar,19,9831.016178,9889.30523,3027.733103
Mar,20,8431.687069,8682.761178,2620.363103
Mar,21,9201.925086,9808.710575,2699.921379
Mar,22,7811.075195,10314.5381,2715.476897
Mar,23,6299.589714,7750.413477,2461.606552
Mar,24,5250.626434,5854.436063,2265.776897
Apr,1,7036.075973,5579.705479,1972.92
Apr,2,5822.185755,4551.326398,1841.656129
Apr,3,5307.358011,4466.389634,1643.998387
Apr,4,5080.98227,4065.305887,1272.357742
Apr,5,5717.851129,3974.994427,1160.758065
Apr,6,5211.891964,3637.043176,782.0622581
Apr,7,3467.518211,2710.809539,399.5512903
Apr,8,4414.73572,3001.924912,844.6058065
Apr,9,6069.689964,3698.402982,1120.689677
Apr,10,5648.164042,3643.544764,981.7325806
Apr,11,6138.254322,5008.110338,1416.282258
Apr,12,5531.978065,4101.304431,936.0677419
Apr,13,6297.467507,4286.657244,1243.372581
Apr,14,9825.284269,8301.556411,1668.370645
Apr,15,10076.69753,10222.67968,1630.588387
Apr,16,9762.094704,11513.43318,1485.012581
Apr,17,9198.765081,10104.18663,774.6922581
Apr,18,7110.647957,6805.382043,1323.466452
Apr,19,10028.31011,9413.390968,1901.074839
Apr,20,8978.070081,8896.264553,1836.161613
Apr,21,10227.37323,12770.74651,2020.427742
Apr,22,10155.55809,11032.22401,2198.966129
Apr,23,9051.768414,8145.175457,2017.074194
Apr,24,7218.709624,6159.370694,1902.585806
May,1,6443.677859,6141.916139,2084.254
May,2,6224.031139,5633.505912,1954.992
May,3,5647.0945,4829.798486,1866.632667
May,4,5312.493861,4192.870454,1757.974
May,5,6010.931278,4211.188843,1806.412667
May,6,4661.665917,3811.867567,1627.473
May,7,3745.112088,3061.496531,1150.981333
May,8,5781.826452,3288.875789,1740.838333
May,9,7548.997308,4086.383423,1839.549
May,10,6813.42056,4455.887913,1692.256333
May,11,8242.090667,5115.543843,1732.330333
May,12,7306.258667,4710.363115,1323.797
May,13,7808.062619,5369.164226,1771.392667
May,14,12288.78314,11624.19249,2125.603
May,15,12531.49817,13925.09458,2125.237667
May,16,13808.68636,15071.63413,1607.071333
May,17,11997.97611,12019.16728,987.1126667
May,18,7960.9045,7367.906509,1184.278667
May,19,9371.899667,12394.52117,1971.212667
May,20,8900.846472,11750.31802,2018.110333
May,21,11043.26611,14084.75807,3387.64
May,22,12123.87186,11311.504,3769.713333
May,23,11054.86006,8079.089167,3070.925
May,24,8828.252351,7936.951324,2207.705667
June,1,6165.143038,5416.760188,2881.553548
June,2,5288.015511,4818.076371,2709.79
June,3,4739.066156,4066.433043,2347.083871
June,4,4630.550081,3619.884792,2177.495484
June,5,4674.435242,3862.37966,2027.269032
June,6,4196.951053,3328.423265,1734.440968
June,7,3797.096119,2781.294435,1814.074839
June,8,4402.995274,3349.739203,2298.865806
June,9,4921.717539,4191.45875,3410.650645
June,10,5100.74186,4605.504094,3370.52871
June,11,5778.762554,5306.179383,4046.113871
June,12,5407.147568,5194.860425,3463.161935
June,13,5304.751373,4780.476777,3833.689355
June,14,8472.860027,7721.243065,5690.773226
June,15,9581.838495,8264.217769,5189.462903
June,16,8128.94914,8076.127312,3840.509032
June,17,6394.679677,6415.25121,2577.136129
June,18,5188.977258,5526.159277,1762.997742
June,19,6706.03121,8867.738817,2250.714839
June,20,8043.421747,8719.87379,2578.454516
June,21,8082.672339,9878.479543,3514.247419
June,22,7460.525645,8765.096022,4016.405484
June,23,7364.002769,6415.835349,3353.626129
June,24,6276.998011,6214.060261,2764.183871
Jul,1,5212.124594,5124.278797,2023.243667
Jul,2,4500.804922,4562.350966,1908.256333
Jul,3,4087.920659,4157.512553,1789.879
Jul,4,3786.365165,3728.944086,1751.649333
Jul,5,3867.174308,3808.713475,1721.778667
Jul,6,3412.240543,3503.112924,1528.946
Jul,7,3211.90186,3029.138797,1560.772333
Jul,8,3744.497007,3542.380961,1789.718
Jul,9,4300.480186,5007.251107,1949.062667
Jul,10,4808.161434,5297.122399,2017.23
Jul,11,5336.982,4874.685779,2188.602667
Jul,12,5727.37215,4920.787672,2091.022667
Jul,13,5251.854644,4425.098999,2406.818667
Jul,14,7033.802972,6923.249118,3041.491333
Jul,15,7244.2437,7294.228265,2757.209667
Jul,16,6673.328,8211.943752,2173.294667
Jul,17,5596.826101,6923.885343,1908.477333
Jul,18,4798.444816,5421.085024,1737.344
Jul,19,5684.243083,7200.456874,2022.278
Jul,20,6362.683444,7266.656072,2084.909667
Jul,21,6534.261167,10407.93306,2283.988333
Jul,22,8174.525866,10699.55192,2285.320667
Jul,23,6954.486083,7267.669237,2105.912667
Jul,24,5706.994961,5661.348132,2019.322667
Aug,1,4999.092903,4894.708308,1823.104194
Aug,2,4481.575699,4189.119429,1746.765806
Aug,3,4031.057097,3902.22003,1636.450968
Aug,4,3929.7125,3791.95891,1547.370645
Aug,5,3892.152634,3998.997201,1483.270968
Aug,6,3448.282417,3734.644811,1428.331613
Aug,7,3064.705704,2778.429464,1517.218387
Aug,8,3524.803615,3571.33327,1770.417742
Aug,9,4073.158737,3981.911237,2004.259355
Aug,10,4728.19621,4208.107617,2036.119677
Aug,11,5240.461312,5965.384205,2266.282258
Aug,12,4948.865188,4168.870933,2091.462258
Aug,13,4369.696371,4757.712524,2210.464839
Aug,14,6667.810511,8876.809546,2435.975484
Aug,15,6741.811828,8043.443449,2340.044516
Aug,16,7079.01586,8919.733035,2078.974839
Aug,17,6378.380269,6538.392275,1941.735806
Aug,18,4582.187688,5511.862303,1827.932903
Aug,19,6512.169651,9039.368213,2125.688065
Aug,20,6626.587634,7428.337847,2144.120323
Aug,21,7395.401855,11255.9828,2323.584194
Aug,22,7570.562392,11917.75531,2242.809032
Aug,23,6675.658925,7340.455681,2006.580968
Aug,24,5931.634032,5889.005426,1912.923548
Sept,1,4819.995469,3639.499893,3205.803871
Sept,2,4259.863719,3229.690151,2472.265484
Sept,3,3867.814845,2974.458908,2225.018065
Sept,4,3679.166076,2761.729586,2204.508387
Sept,5,3940.302991,3015.572078,2058.789677
Sept,6,3755.535657,2811.014316,1916.983871
Sept,7,2910.257764,2231.109561,1696.736452
Sept,8,3616.527028,2590.215835,1999.433548
Sept,9,4186.004303,2770.317608,2696.462903
Sept,10,4463.131939,3273.229323,3302.423548
Sept,11,4974.691331,3338.563203,4828.709677
Sept,12,4713.787328,3129.671426,3209.339032
Sept,13,4675.882063,2933.860936,4076.659355
Sept,14,5913.904401,4000.201611,6746.116452
Sept,15,5735.230442,4070.345651,6036.521613
Sept,16,5094.920345,3924.630462,4912.240645
Sept,17,5079.152148,4017.416526,2656.344194
Sept,18,5187.276839,3950.469579,2200.856129
Sept,19,6197.470373,6479.281365,3337.27129
Sept,20,5320.675295,4453.518197,3387.804839
Sept,21,5895.896284,5708.537899,4715.258387
Sept,22,6172.34223,5603.899547,4735.717742
Sept,23,5349.223704,4115.606967,3869.262258
Sept,24,4729.77483,3625.892169,3318.490323
Oct,1,5109.933439,3761.458845,1804.203
Oct,2,4881.095809,3101.180657,1697.893
Oct,3,4552.35104,2699.58895,1542.334
Oct,4,4464.797092,2506.083179,1532.178
Oct,5,4707.3177,2772.010196,1523.767
Oct,6,4502.04143,2652.574061,1493.94
Oct,7,3973.030442,2110.694399,1408.158
Oct,8,4903.788317,2682.154586,1753.307
Oct,9,5163.497262,2857.141382,1758.442667
Oct,10,6081.890069,3066.468874,1873.795
Oct,11,7001.570266,3359.183887,2745.044333
Oct,12,6077.235485,2841.342845,1811.836333
Oct,13,5648.163147,2792.986629,2178.65
Oct,14,8102.66754,4118.437039,3609.224667
Oct,15,7029.7137,4865.230259,2745.477
Oct,16,6837.786702,4943.9989,2165.105333
Oct,17,6487.634777,4438.077699,1670.984667
Oct,18,7045.55022,6054.45054,1989.046
Oct,19,10404.23041,6177.247728,1919.013667
Oct,20,8443.600556,4569.832061,1809.763333
Oct,21,9815.143177,5249.126073,1976.631667
Oct,22,9901.708503,5050.381012,2057.83
Oct,23,8297.109285,4225.081148,1953.962333
Oct,24,6111.043077,3474.772553,1910.400667
Nov,1,3528.168978,3430.415411,1487.33
Nov,2,3391.310782,3208.39943,1397.529355
Nov,3,3249.533763,3192.052177,1350.08129
Nov,4,2921.4,2821.177321,1282.605484
Nov,5,3111.247911,3018.083081,1268.064839
Nov,6,3055.496396,3013.655913,1328.868925
Nov,7,2335.43566,2287.974986,1340.356042
Nov,8,2659.175302,2448.590632,1566.305438
Nov,9,2745.480919,3139.718616,2029.090066
Nov,10,3525.374651,3729.682093,2267.513126
Nov,11,4068.192026,3808.045386,2039.045737
Nov,12,3610.685497,3327.677879,2004.237609
Nov,13,3740.311436,3131.064775,2257.514709
Nov,14,5451.705634,4615.866761,2768.151061
Nov,15,4079.322715,4027.351421,2543.354248
Nov,16,3949.313399,5285.01967,2645.470633
Nov,17,4350.020753,5424.772179,1940.436483
Nov,18,4919.424477,7940.115985,2984.796995
Nov,19,4443.459348,7047.050268,1959.752581
Nov,20,3884.451129,4669.238376,1463.682258
Nov,21,4397.523135,5221.387952,1762.312258
Nov,22,7039.700972,5852.268978,1983.294839
Nov,23,4834.673226,4020.717828,1559.672258
Nov,24,3877.378656,3593.544259,1538.795806
Dec,1,3660.128658,3168.361944,1773.574
Dec,2,3294.731016,2859.930028,1681.998333
Dec,3,3322.209356,2647.21304,1526.658333
Dec,4,3051.33868,2311.259483,1524.543
Dec,5,2752.779569,2519.645298,1381.325
Dec,6,2893.187477,2643.369222,1452.109667
Dec,7,2380.78881,2268.573195,1116.204667
Dec,8,2841.105478,2127.754829,1703.705667
Dec,9,3037.959923,2035.257738,1782.804
Dec,10,3556.980045,2215.111155,2015.746
Dec,11,4283.796009,2816.868564,2283.287667
Dec,12,3990.233443,2197.721284,1936.073667
Dec,13,3431.343432,1983.428986,2172.542333
Dec,14,5258.038293,3120.780038,2862.248667
Dec,15,5608.17059,2950.567237,2745.250667
Dec,16,5369.53326,3744.175941,2500.150667
Dec,17,5020.669665,3937.399662,2209.633667
Dec,18,7469.624821,6354.521722,2929.000667
Dec,19,5527.01038,4949.021944,2311.295333
Dec,20,4096.863453,3785.462278,2222.725
Dec,21,6205.014724,4053.597611,2709.599333
Dec,22,8545.026229,4786.426639,2166.061333
Dec,23,4795.370086,3764.85653,2028.445667
Dec,24,4020.027915,3169.365319,1908.564
